day,word,length,category,clue,blurb
1,SURF,4,Culture,The city's trademarked identity,Surf City USA. HB fought Santa Cruz for the trademark and won it in the 2000s. Day one had to be this.
2,PIER,4,Icons,"1,850 feet of HB's most famous landmark","The HB Pier stretches 1,850 feet, one of the longest on the West Coast. First built in 1904, rebuilt in 1992 after winter storms took it down."
3,DUKE,4,History,"Surfing's godfather, and a restaurant at the pier","Duke Kahanamoku, the father of modern surfing, lends his name to the restaurant at the base of the pier."
4,BOLSA,5,Nature,Chica's first name,"The Bolsa Chica Ecological Reserve: 1,300+ acres of restored wetlands and one of SoCal's best birding spots."
5,SWELL,5,Surf,What every surfer checks before coffee,"South swells light up the pier bowl all summer. Surfline, which calls the forecast for most of the world, is headquartered right here in HB."
6,MAIN,4,Streets,The street where downtown happens,"Main Street: from PCH up to the fountain, home to the Surfing Walk of Fame."
7,GLOOM,5,Nature,June's gray morning blanket,"June Gloom is the marine layer that parks over the coast on late spring mornings. Gray until noon, then the sun shows up like nothing happened."
8,GROM,4,Surf slang,A very young surfer,Every HB grom dreams of a US Open heat at the pier southside.
9,TOWER,5,Beach,Lifeguards watch from these,HB Marine Safety staffs towers along 3.5 miles of city beach. Tower Zero sits on the pier itself.
10,SUGAR,5,Eats,"___ Shack, the Main Street breakfast institution",The Sugar Shack Cafe has fed surfers on Main Street since 1967. Get there before the dawn patrol crowd.
11,STOKED,6,Surf slang,The only acceptable mood after a good session,The official emotional state of Huntington Beach.
12,SUNSET,6,Places,The beach HB annexed in 2011,Sunset Beach kept its funky water-tower-house charm after joining HB in 2011.
13,KOOK,4,Surf slang,What you don't want to be called in the lineup,Universal surf-speak for someone who doesn't know what they're doing. Don't ditch your board on a crowded day.
14,OPEN,4,Events,The summer contest that takes over the pier,"The US Open of Surfing traces back to 1959, when the first West Coast Surfing Championships ran on the same sand by the pier. It has grown into the biggest surf contest in the world."
15,GOLDEN,6,Streets,"West of this street, a college shares the name","Goldenwest Street runs the length of the city, and Golden West College has anchored it since 1966."
16,DAWN,4,Surf,___ patrol: the earliest session,"Dawn patrol: in the water before work, before crowds, before the wind."
17,OILERS,6,Schools,HB High's mascot,"The Huntington Beach High Oilers, named for the 1920s oil boom that briefly made this town a forest of derricks."
18,WHALE,5,Nature,Winter giant passing offshore,Gray whales stream past Huntington Beach between December and April on the run between Alaska and Baja. On a clear winter day you can spot a spout from the end of the pier.
19,BONFIRE,7,Beach,What the rings south of the pier are for,"HB has hundreds of beach fire rings, among the last remaining in Southern California. Get there early on summer weekends."
20,CRUDE,5,History,What Standard Oil struck here in 1920,"The 1920 oil strike transformed a sleepy beach town. At the peak, derricks outnumbered houses."
21,SHAKA,5,Culture,The hand sign that means it's all good,"Thumb and pinky out. If you know, you know."
22,MUSEUM,6,Culture,"Where Surf City keeps its history, on Olive Avenue","The International Surfing Museum opened in 1987 and has called Olive Avenue home since 1990. Boards, photos and memorabilia tell how a beach town became Surf City USA."
23,TIDE,4,Surf,Check the chart before you paddle out,"Tide swings shape everything here, from the pier bowl to Bolsa Chica birding."
24,PARADE,6,Events,HB's Fourth of July tradition since 1904,The HB Fourth of July Parade has run since 1904 and ranks among the largest Independence Day parades in the West.
25,KELP,4,Nature,Underwater forest offshore,"Kelp beds offshore keep the water rich, the fishing good, and occasionally wrap your leash."
26,GNARLY,6,Surf slang,"Heavy, intense, or just impressive",Applies equally to double-overhead days and parking on Main Street in July.
27,EDISON,6,Schools,High school that shares its name with the power company,"Edison High Chargers, named for Southern California Edison, which donated the land the school sits on. The company's power plant still looms over Newland."
28,PACIFIC,7,Places,"The ocean, the coast highway, and the mall","Pacific City opened in 2015 on the bluff overlooking the pier, on land that sat empty for decades."
29,SANDBAR,7,Surf,The hidden architecture under every HB peak,"Huntington Beach is a beach break, so its waves rise over sandbars that storms and tides constantly rearrange. When a good bar sets up, word gets around fast."
30,LIBRARY,7,Places,The Central Park building with indoor fountains,"HB's Central Library, designed by the Neutra firm, opened in 1975 with flowing indoor fountains. One of the most beautiful public buildings in OC."
31,DONUT,5,Events,Fuel for the Saturday sunrise car meet,"Since the mid 1980s, hot rods and woodies have filled the corner of Adams and Magnolia at dawn every Saturday for Donut Derelicts. No fees, no trophies, just coffee and chrome."
32,LEASH,5,Surf,The cord that keeps your board from becoming a missile,"Invented in the 1970s, mandatory etiquette at a crowded pier."
33,CENTRAL,7,Places,HB's 350-acre park,"Central Park: about 350 acres of trails, lakes, a disc golf course, and an equestrian center. One of the biggest city parks in OC."
34,TERN,4,Nature,Small seabird nesting protected at Bolsa Chica,"California least terns nest at Bolsa Chica every summer. The fenced-off sand isn't for you, it's for them."
35,WETSUIT,7,Surf,Year-round necessity in HB water,The Pacific here rarely tops 70 degrees. Rubber is not optional most of the year.
36,SATURN,6,History,Moon rocket with a stage built right here,The third stage of the Saturn V moon rocket was built at the Douglas plant in Huntington Beach. Every Apollo crew that reached the Moon rode hardware assembled in Surf City.
37,GLASSY,6,Surf,Perfect no-wind morning conditions,"When the surface goes glassy at first light, everything else can wait."
38,VANS,4,Events,Title sponsor of the US Open of Surfing,"The Vans US Open of Surfing, the world's biggest surf competition, takes over the pier southside every summer."
39,EGRET,5,Nature,Tall white wader in the wetlands,Snowy and great egrets stalk the Bolsa Chica channels at low tide.
40,WARNER,6,Streets,The avenue that takes you to Sunset Beach,Warner Avenue runs from the harbour clear across the city. The Warner and PCH corner is your gateway to Sunset Beach.
41,WIPEOUT,7,Surf,The fall every surfer knows by heart,"The crash at the end of a ride, made famous far beyond the lineup by the 1963 surf-rock hit of the same name. Every HB surfer has a personal highlight reel."
42,CELERY,6,History,The crop that ruled HB before oil did,"Before the 1920 oil boom, the peat soil around Huntington Beach grew so much celery the area was called the Celery Capital. Trainloads rolled out on the Southern Pacific line."
43,LOCALS,6,Culture,Who gets the best peaks at dawn,Every break has its regulars. Respect goes a long way at the pier.
44,MARINA,6,Schools,Vikings territory,Marina High has repped the northwest side since 1963. The Vikings name came along two years later.
45,BARREL,6,Surf,"Inside the wave, the whole point",Getting barreled at the pier on a south swell is the local rite of passage.
46,TUESDAY,7,Events,The night Main Street kicks out the cars,"Every Tuesday evening, Main Street closes to traffic for Surf City Nights, a farmers market and street fair. It is the night the tourist strip turns back into a small town."
47,PLOVER,6,Nature,Tiny protected shorebird on HB sand,Western snowy plovers are why parts of the beach are roped off. They weigh about as much as a golf ball.
48,HENRY,5,History,The Huntington the city is named for,"Henry Huntington, the railroad magnate whose Pacific Electric line put the town on the map. It took his name in 1903, and his Red Cars rolled in the next year."
49,LINEUP,6,Surf,Where surfers wait their turn,The pier lineup is a hierarchy. Watch before you paddle to the peak.
50,STRAND,6,Places,The shopping block at 5th and PCH,"The Strand at Downtown HB, the 2009 development that brought a hotel and restaurants to 5th and PCH."
